description,estimated_price
Wheel Alignment cost for Jaguar,1800
Estimate for Tyre Replacement (Per Tyre) on Scorpio,4900
My XUV700 needs Oil Change (Synthetic),6100
My Celerio needs Bumper Paint,2450
Estimate for Scratch Remover on Venue,1100
I need a Full Car Wash for my WagonR,450
Estimate for Full Body Paint on Brezza,34900
How much for Door Dent Removal?,1750
Oil Change (Synthetic) cost for Maruti Alto,2800
How much is Headlight Assembly Replacement for Brezza?,4800
Do you do Battery Replacement for Harrier?,9650
Jaguar Headlight Assembly Replacement,15250
Price of Oil Change (Mineral) in Santro,1450
How much is Horn Repair for Thar?,550
Santro Oil Change (Mineral),1450
Urgent Battery Replacement required for Jeep Compass,10100
Cost to fix Battery Replacement on BMW,20200
I need a Clutch Plate Replacement for my Swift,6200
Thar Tyre Replacement (Per Tyre),4950
How much for Engine Tuning?,1800
Do you do Brake Pad Replacement for Swift?,1800
Wheel Balancing cost for Santro,500
Do you do Full Car Wash for Jaguar?,2050
Urgent Engine Tuning required for Venue,2100
Do you do Horn Repair for Audi?,1800
Urgent Deep Interior Cleaning required for Kia Seltos,1700
Estimate for Ceramic Coating on Jeep Compass,25550
Urgent Battery Replacement required for Maruti Alto,4300
Urgent Clutch Plate Replacement required for Kwid,6200
Cost to fix Wiper Blades on Volvo,2200
How much is Clutch Plate Replacement for Nexon?,8450
Cost to fix Coolant Top-up on Harrier,650
Cost to fix Bumper Paint on Porsche,11100
How much for Teflon Coating?,5350
Price of Oil Change (Mineral) in Ignis,1450
Urgent Full Body Paint required for Tata Tiago,24950
How much is Deep Interior Cleaning for Jeep Compass?,2700
Cost to fix Teflon Coating on Creta,6350
My Scorpio needs Wiper Blades,700
Cost to fix Full Car Wash on Scorpio,650
I need a Wiper Blades for my Harrier,1050
Do you do AC Gas Refill for Lexus?,8150
My Land Rover needs Wheel Alignment,1750
Estimate for Coolant Top-up on Volvo,1300
How much is Wheel Alignment for BMW?,1750
Wheel Balancing cost for Maruti Alto,500
I need a Tyre Replacement (Per Tyre) for my Thar,5150
Estimate for Oil Change (Mineral) on Creta,2050
Innova Crysta Full Body Paint,56150
Cost to fix Clutch Plate Replacement on Scorpio,8300
Estimate for Scratch Remover on Toyota Fortuner,1700
Urgent Bumper Paint required for Honda City,3550
Cost to fix Disc Turning on Harrier,2050
How much is Full Body Paint for Audi?,114550
How much is Door Dent Removal for Kia Seltos?,2200
XUV700 Ceramic Coating,27050
I need a Coolant Top-up for my Octavia,650
I need a AC Service & Cleaning for my Land Rover,11450
How much is Clutch Plate Replacement for Porsche?,27750
I need a Headlight Assembly Replacement for my Nexon,5000
I need a Oil Change (Synthetic) for my WagonR,2800
Estimate for Scratch Remover on Jeep Compass,1850
Estimate for Oil Change (Synthetic) on Octavia,6150
Price of AC Service & Cleaning in Venue,3500
Cost to fix Wheel Balancing on Porsche,2200
How much is Horn Repair for Verna?,600
Price of Disc Turning in Honda City,1300
Cost to fix Disc Turning on Mercedes,4250
How much for Oil Change (Mineral)?,1750
Ignis Gearbox Repair,12100
Do you do Deep Interior Cleaning for Scorpio?,1600
Eon Spark Plug Replacement,400
How much is Suspension Overhaul for Brezza?,10750
Estimate for Suspension Overhaul on Jeep Compass,16900
I need a Teflon Coating for my Verna,6400
Urgent Disc Turning required for Harrier,1900
Brake Pad Replacement cost for Swift,1750
Urgent AC Service & Cleaning required for Honda City,3350
How much is Ceramic Coating for Ignis?,11400
Price of Battery Replacement in Toyota Fortuner,9550
Oil Change (Synthetic) cost for Venue,4000
My WagonR needs Standard Checkup,800
I need a Full Car Wash for my Thar,600
Estimate for Teflon Coating on Thar,6500
Urgent Spark Plug Replacement required for Santro,400
Ignis Wheel Balancing,500
Estimate for Wiper Blades on Santro,500
My Thar needs Spark Plug Replacement,550
How much is Bumper Paint for Toyota Fortuner?,5450
Cost to fix Full Body Paint on Hyundai i10,25000
Urgent Headlight Assembly Replacement required for Maruti Alto,3400
Venue Headlight Assembly Replacement,5000
Estimate for Standard Checkup on Lexus,3550
Cost to fix Full Car Wash on Mercedes,2100
Cost to fix Full Car Wash on Porsche,2050
How much for Oil Change (Mineral)?,1750
Deep Interior Cleaning cost for Volvo,5300
Volvo AC Service & Cleaning,11650
Cost to fix Oil Change (Mineral) on Volvo,6650
How much for Bumper Paint?,3000
I need a Clutch Plate Replacement for my Harrier,13700
How much is Horn Repair for WagonR?,400
Estimate for Headlight Assembly Replacement on Swift,3650
How much for Engine Tuning?,1750
I need a Headlight Bulb Change for my Tata Tiago,600
Price of Suspension Overhaul in Thar,11650
Urgent Gearbox Repair required for BMW,56600
Urgent Headlight Assembly Replacement required for Safari,7650
Estimate for Teflon Coating on Brezza,6100
I need a Bumper Paint for my Audi,10750
Volvo AC Service & Cleaning,10700
How much is AC Service & Cleaning for Swift?,2500
How much is Ceramic Coating for Honda City?,17450
How much for Scratch Remover?,900
Cost to fix Disc Turning on Celerio,850
How much for Oil Change (Synthetic)?,3300
How much for Coolant Top-up?,350
My Safari needs Full Body Paint,56900
How much is Suspension Overhaul for Venue?,10800
How much for Headlight Bulb Change?,750
How much for General Service?,4350
Estimate for Headlight Bulb Change on Octavia,1300
How much for Full Body Paint?,31400
I need a Standard Checkup for my Kwid,800
How much is Wheel Balancing for BMW?,2250
I need a Deep Interior Cleaning for my BMW,5550
I need a Coolant Top-up for my Nexon,450
Price of Full Body Paint in Honda City,35100
My Ciaz needs Door Dent Removal,2100
Do you do Oil Change (Mineral) for Tata Tiago?,1500
How much for Deep Interior Cleaning?,1450
Estimate for Full Body Paint on Octavia,53600
How much for Wheel Balancing?,600
My WagonR needs Bumper Paint,2400
Cost to fix Deep Interior Cleaning on Octavia,2700
How much is AC Service & Cleaning for Lexus?,11150
How much is AC Gas Refill for Swift?,1750
Estimate for Headlight Bulb Change on WagonR,600
Price of Engine Tuning in Venue,2000
Estimate for Suspension Overhaul on Maruti Alto,7600
Wiper Blades cost for WagonR,500
Do you do General Service for Ciaz?,4700
Thar Wheel Balancing,700
How much for Brake Pad Replacement?,2150
I need a Wheel Balancing for my Octavia,1050
Cost to fix Oil Change (Mineral) on Safari,3400
Price of Gearbox Repair in Hyundai i10,12350
Price of Wiper Blades in Jaguar,2250
Maruti Alto Clutch Plate Replacement,5700
Ceramic Coating cost for Honda City,16300
Tyre Replacement (Per Tyre) cost for Jaguar,15550
How much is Tyre Replacement (Per Tyre) for Tiguan?,7950
Price of Bumper Paint in Innova Crysta,5500
Cost to fix Horn Repair on Harrier,850
Wheel Balancing cost for Ciaz,700
General Service cost for Mercedes,16500
I need a Battery Replacement for my Tiguan,9750
Urgent Oil Change (Synthetic) required for XUV700,6250
Standard Checkup cost for Volvo,3650
Cost to fix Deep Interior Cleaning on Kia Seltos,1650
My Jaguar needs Bumper Paint,11300
Suspension Overhaul cost for XUV700,18450
I need a Headlight Bulb Change for my Mercedes,2800
Jaguar Scratch Remover,3600
Full Car Wash cost for Safari,950
Urgent Horn Repair required for Ignis,400
Price of Door Dent Removal in Safari,3150
Estimate for Horn Repair on Scorpio,600
How much is Full Body Paint for Verna?,34100
Tyre Replacement (Per Tyre) cost for Land Rover,16400
Do you do Tyre Replacement (Per Tyre) for Porsche?,15050
Mercedes Coolant Top-up,1350
Battery Replacement cost for Land Rover,21250
Urgent Wheel Alignment required for Harrier,900
Cost to fix Ceramic Coating on Creta,16200
I need a Gearbox Repair for my Kwid,11800
Urgent Disc Turning required for Scorpio,1250
I need a Spark Plug Replacement for my Harrier,850
Cost to fix Full Body Paint on Volvo,115150
Full Body Paint cost for Porsche,112150
Cost to fix Clutch Plate Replacement on Eon,6100
My Hyundai i10 needs Headlight Assembly Replacement,3350
Estimate for Standard Checkup on Honda City,1100
How much is Gearbox Repair for Jeep Compass?,26550
Scratch Remover cost for Scorpio,1150
My Jaguar needs AC Service & Cleaning,11150
Clutch Plate Replacement cost for Audi,25700
How much is Tyre Replacement (Per Tyre) for Ignis?,3550
Price of AC Gas Refill in Kwid,1750
Estimate for Clutch Plate Replacement on Celerio,6150
How much for Clutch Plate Replacement?,6950
How much for Gearbox Repair?,14200
How much for Suspension Overhaul?,9250
I need a Gearbox Repair for my Harrier,27700
Do you do Deep Interior Cleaning for Celerio?,1150
Price of Headlight Assembly Replacement in BMW,15350
Do you do Oil Change (Mineral) for Lexus?,6500
Urgent Scratch Remover required for Eon,800
Headlight Assembly Replacement cost for Venue,4850
Price of Deep Interior Cleaning in Toyota Fortuner,2550
Do you do Bumper Paint for Tiguan?,5350
Estimate for Battery Replacement on Safari,10050
I need a Spark Plug Replacement for my Safari,850
How much is Deep Interior Cleaning for Jeep Compass?,2650
Urgent Full Car Wash required for Brezza,600
My BMW needs Standard Checkup,3450
How much for Wiper Blades?,600
I need a Coolant Top-up for my Porsche,1350
Do you do Door Dent Removal for Kwid?,1550
Estimate for Suspension Overhaul on Kia Seltos,11200
Urgent Oil Change (Synthetic) required for Porsche,12500
Price of AC Gas Refill in Verna,2450
How much is Wheel Balancing for Mercedes?,2150
How much for Battery Replacement?,5150
Deep Interior Cleaning cost for XUV300,1650
Safari Headlight Bulb Change,1300
Jaguar Battery Replacement,19950
How much for Oil Change (Synthetic)?,3350
I need a Gearbox Repair for my Nexon,17200
How much for Clutch Plate Replacement?,7150
Do you do Coolant Top-up for Kwid?,300
XUV300 Wiper Blades,700
Urgent Tyre Replacement (Per Tyre) required for Creta,4750
How much is Battery Replacement for Maruti Alto?,4550
Full Body Paint cost for Porsche,109850
How much for Bumper Paint?,2900
I need a Battery Replacement for my Thar,6200
Do you do Teflon Coating for Santro?,4500
How much for Horn Repair?,500
Cost to fix Teflon Coating on Thar,6600
Urgent Coolant Top-up required for Scorpio,400
Estimate for Gearbox Repair on Innova Crysta,26550
I need a Coolant Top-up for my Safari,650
Cost to fix Headlight Bulb Change on BMW,2800
My BMW needs Wheel Balancing,2350
Cost to fix Teflon Coating on Maruti Alto,4500
How much is Oil Change (Synthetic) for Creta?,3750
How much for Deep Interior Cleaning?,1350
How much for Headlight Assembly Replacement?,4350
Cost to fix Ceramic Coating on Creta,16200
How much for Tyre Replacement (Per Tyre)?,4000
How much for AC Service & Cleaning?,3000
Cost to fix AC Service & Cleaning on Octavia,5750
How much is Door Dent Removal for Porsche?,6600
Cost to fix General Service on Innova Crysta,7500
Cost to fix Wiper Blades on Celerio,500
I need a Gearbox Repair for my Mercedes,52400
Cost to fix Gearbox Repair on Hyundai i10,11450
Estimate for Wheel Alignment on Lexus,1750
My WagonR needs Clutch Plate Replacement,6200
How much is Teflon Coating for Innova Crysta?,10000
Jeep Compass Oil Change (Synthetic),6000
How much is Door Dent Removal for XUV700?,3150
How much for Horn Repair?,500
How much for Wiper Blades?,600
Cost to fix Tyre Replacement (Per Tyre) on Kwid,3550
Cost to fix AC Gas Refill on Lexus,7750
I need a Headlight Assembly Replacement for my Lexus,15500
Lexus AC Gas Refill,7950
How much for Suspension Overhaul?,9300
Urgent Oil Change (Mineral) required for Jaguar,6700
How much is Door Dent Removal for Mercedes?,6850
My Verna needs AC Service & Cleaning,3400
How much is Engine Tuning for Hyundai i10?,1500
How much for Gearbox Repair?,14450
How much for AC Gas Refill?,2100
Wheel Alignment cost for Porsche,1750
How much for Spark Plug Replacement?,500
Urgent Full Car Wash required for Jaguar,2100
I need a Coolant Top-up for my Ciaz,450
Urgent Engine Tuning required for Eon,1450
Mercedes Coolant Top-up,1350
My Mercedes needs Oil Change (Mineral),6750
How much is Headlight Assembly Replacement for Lexus?,16500
Gearbox Repair cost for Mercedes,53850
How much for Suspension Overhaul?,9850
How much is Headlight Bulb Change for Lexus?,2850
Do you do Headlight Assembly Replacement for Santro?,3450
Do you do Brake Pad Replacement for Ignis?,1750
How much for Scratch Remover?,950
My XUV700 needs Engine Tuning,3200
I need a Brake Pad Replacement for my Maruti Alto,1850
General Service cost for Porsche,15700
Price of Bumper Paint in Jeep Compass,5350
Oil Change (Synthetic) cost for Jeep Compass,6150
Do you do Suspension Overhaul for Maruti Alto?,8150
Cost to fix Oil Change (Mineral) on XUV300,2150
I need a Deep Interior Cleaning for my Ciaz,1700
How much is Tyre Replacement (Per Tyre) for Porsche?,15500
How much is AC Service & Cleaning for Thar?,3650
Estimate for Suspension Overhaul on Swift,7700
I need a AC Service & Cleaning for my Tata Tiago,2600
Gearbox Repair cost for Scorpio,17550
Price of Suspension Overhaul in Kwid,8100
Urgent Teflon Coating required for Verna,6350
I need a Full Car Wash for my Land Rover,2000
I need a Deep Interior Cleaning for my XUV300,1750
My Brezza needs Horn Repair,550
Cost to fix Suspension Overhaul on Honda City,11450
Do you do Headlight Bulb Change for Jeep Compass?,1350
I need a Teflon Coating for my Innova Crysta,10100
Battery Replacement cost for Toyota Fortuner,9500
How much for Full Body Paint?,29000
My Octavia needs Ceramic Coating,26050
My Volvo needs Gearbox Repair,55250
I need a Teflon Coating for my Brezza,6600
Celerio Headlight Assembly Replacement,3500
Verna AC Service & Cleaning,3600
Price of Spark Plug Replacement in WagonR,400
Nexon Wiper Blades,700
Urgent Disc Turning required for Kia Seltos,1300
Cost to fix Headlight Bulb Change on Mercedes,2650
Do you do Oil Change (Synthetic) for Volvo?,12600
How much for AC Service & Cleaning?,3100
How much is Disc Turning for Kwid?,900
Estimate for Wheel Balancing on Nexon,750
Headlight Bulb Change cost for Santro,600
I need a Oil Change (Synthetic) for my Safari,6350
General Service cost for Land Rover,15150
How much for Brake Pad Replacement?,2100
My Jaguar needs Battery Replacement,20550
Cost to fix AC Gas Refill on BMW,8300
Thar Oil Change (Mineral),2050
Cost to fix Suspension Overhaul on Ignis,7700
Battery Replacement cost for Kia Seltos,6400
How much for Door Dent Removal?,1800
Mercedes Engine Tuning,6650
How much is Suspension Overhaul for Eon?,7950
Do you do Bumper Paint for Maruti Alto?,2600
Estimate for Disc Turning on Nexon,1300
Cost to fix Tyre Replacement (Per Tyre) on Kwid,3400
Cost to fix Headlight Assembly Replacement on Venue,4900
Price of Clutch Plate Replacement in Ciaz,8450
My Audi needs Wiper Blades,2150
How much for AC Service & Cleaning?,3050
Urgent Oil Change (Synthetic) required for Tiguan,6000
How much for Deep Interior Cleaning?,1400
How much for Wiper Blades?,600
How much for Gearbox Repair?,14800
Estimate for Door Dent Removal on XUV700,3350
Price of Clutch Plate Replacement in BMW,26050
How much is Wheel Balancing for Verna?,700
Price of Standard Checkup in Thar,1150
Do you do General Service for Land Rover?,15000
My Santro needs Horn Repair,400
I need a Deep Interior Cleaning for my BMW,5400
How much is Door Dent Removal for Harrier?,3200
Maruti Alto Horn Repair,400
Scratch Remover cost for XUV300,1100
My Maruti Alto needs AC Gas Refill,1800
Do you do Disc Turning for XUV700?,1900
How much is AC Service & Cleaning for Tata Tiago?,2450
Urgent Oil Change (Mineral) required for Porsche,6900
Harrier AC Service & Cleaning,5350
Do you do AC Service & Cleaning for Tata Tiago?,2400
Price of Battery Replacement in Octavia,10350
